method,accuracy,precision_macro,recall_macro,f1_macro
k-NN (k=5),0.9880952380952381,0.9882605317387926,0.9880952380952381,0.9881198122925725
GaussianNB,0.9809523809523809,0.9810686661938055,0.980952380952381,0.9809857901827702
